Accepted Symbol,Synonym Symbol,Scientific Name,Hybrid Genus Indicator,Genus,Hybrid Species Indicator,Species,Subspecies Prefix,Hybrid Subspecies Indicator,Subspecies,Variety Prefix,Hybrid Variety Indicator,Variety,Subvariety Prefix,Subvariety,Forma Prefix,Forma,Genera/Binomial Author,Trinomial Author,Quadranomial Author,Questionable Taxon Indicator,Parents,Genus,Family,Family Symbol,Kingdom
ABTH,,Abutilon theophrasti,,Abutilon,,theophrasti,,,,,,,,,,,Medik.,,,,,Abutilon,Malvaceae,MALVAC,Plantae
ABTH,ABAB3,Abutilon abutilon,,Abutilon,,abutilon,,,,,,,,,,,"(L.) Rusby, nom. inval.",,,,,Abutilon,,,
ABTH,ABAV,Abutilon avicennae,,Abutilon,,avicennae,,,,,,,,,,,Gaertn.,,,,,Abutilon,,,
ABTH2,,Abutilon thurberi,,Abutilon,,thurberi,,,,,,,,,,,A. Gray,,,,,Abutilon,Malvaceae,MALVAC,Plantae
ABTR,,Abutilon trisulcatum,,Abutilon,,trisulcatum,,,,,,,,,,,(Jacq.) Urb.,,,,,Abutilon,Malvaceae,MALVAC,Plantae
ABTR,ABTR2,Abutilon triquetrum,,Abutilon,,triquetrum,,,,,,,,,,,(L.) Sweet,,,,,Abutilon,,,
ABWR,,Abutilon wrightii,,Abutilon,,wrightii,,,,,,,,,,,A. Gray,,,,,Abutilon,Malvaceae,MALVAC,Plantae
ACACI,,Acacia,,Acacia,,,,,,,,,,,,,Mill.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACEM,,Acacia ×emoryana,,Acacia,×,emoryana,,,,,,,,,,,Benth. (pro sp.),,,,[berlandieri × greggii],Acacia,Fabaceae,FABACE,Plantae
ACAB2,,Acacia abyssinica,,Acacia,,abyssinica,,,,,,,,,,,Hochst. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACABC2,,Acacia abyssinica ssp. calophylla,,Acacia,,abyssinica,ssp.,,calophylla,,,,,,,,Hochst. ex Benth.,Brenan,,,,Acacia,Fabaceae,FABACE,Plantae
ACAC7,,Acacia acinacea,,Acacia,,acinacea,,,,,,,,,,,Lindl.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAC7,ACCY3,Acacia cyclophylla,,Acacia,,cyclophylla,,,,,,,,,,,Schltdl.,,,,,Acacia,,,
ACAC8,,Acacia aciphylla,,Acacia,,aciphylla,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAC9,,Acacia aculeatissima,,Acacia,,aculeatissima,,,,,,,,,,,J.F. Macbr.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAC10,,Acacia acuminata,,Acacia,,acuminata,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAD,,Acacia adunca,,Acacia,,adunca,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAD,ACAC6,Acacia accola,,Acacia,,accola,,,,,,,,,,,Maiden & Betche,,,,,Acacia,,,
ACAL16,,Acacia alata,,Acacia,,alata,,,,,,,,,,,R. Br.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAM9,,Acacia ampliceps,,Acacia,,ampliceps,,,,,,,,,,,Maslin,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAN4,,Acacia anegadensis,,Acacia,,anegadensis,,,,,,,,,,,Britton [excluded],,,,,Acacia,Fabaceae,FABACE,Plantae
ACAN10,,Acacia aneura,,Acacia,,aneura,,,,,,,,,,,F. Muell. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAN,,Acacia angustissima,,Acacia,,angustissima,,,,,,,,,,,(Mill.) Kuntze,,,,,Acacia,Fabaceae,FABACE,Plantae
ACANC,,Acacia angustissima var. chisosiana,,Acacia,,angustissima,,,,var.,,chisosiana,,,,,(Mill.) Kuntze,Isely,,,,Acacia,Fabaceae,FABACE,Plantae
ACANH,,Acacia angustissima var. hirta,,Acacia,,angustissima,,,,var.,,hirta,,,,,(Mill.) Kuntze,(Nutt.) B.L. Rob.,,,,Acacia,Fabaceae,FABACE,Plantae
ACANL,,Acacia angustissima var. leucothrix,,Acacia,,angustissima,,,,var.,,leucothrix,,,,,(Mill.) Kuntze,(Standl.) B.L. Turner,,,,Acacia,Fabaceae,FABACE,Plantae
ACANS,,Acacia angustissima var. shrevei,,Acacia,,angustissima,,,,var.,,shrevei,,,,,(Mill.) Kuntze,(Britton & Rose) Isely,,,,Acacia,Fabaceae,FABACE,Plantae
ACANS2,,Acacia angustissima var. suffrutescens,,Acacia,,angustissima,,,,var.,,suffrutescens,,,,,(Mill.) Kuntze,(Rose) Isely,,,,Acacia,Fabaceae,FABACE,Plantae
ACAR12,,Acacia arenaria,,Acacia,,arenaria,,,,,,,,,,,Schinz,,,,,Acacia,Fabaceae,FABACE,Plantae
ACAU,,Acacia auriculiformis,,Acacia,,auriculiformis,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBA,,Acacia baileyana,,Acacia,,baileyana,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBE6,,Acacia beckleri,,Acacia,,beckleri,,,,,,,,,,,Tindale,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBE,,Acacia berlandieri,,Acacia,,berlandieri,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBI5,,Acacia binervata,,Acacia,,binervata,,,,,,,,,,,DC.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBO4,,Acacia boomanii,,Acacia,,boormanii,,,,,,,,,,,Maiden,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBR3,,Acacia brachybotrya,,Acacia,,brachybotrya,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACBU3,,Acacia buxifolia,,Acacia,,buxifolia,,,,,,,,,,,A. Cunn.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCA23,,Acacia caesiella,,Acacia,,caesiella,,,,,,,,,,,Maiden & Blakely,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCA24,,Acacia calamifolia,,Acacia,,calamifolia,,,,,,,,,,,Sweet ex Lindl.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCA25,,Acacia cambagei,,Acacia,,cambagei,,,,,,,,,,,R.T. Baker,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCA27,,Acacia cardiophylla,,Acacia,,cardiophylla,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCA21,,Acacia catechu,,Acacia,,catechu,,,,,,,,,,,(L. f.) Willd. [excluded],,,,,Acacia,Fabaceae,FABACE,Plantae
ACCA35,,Acacia caven,,Acacia,,caven,,,,,,,,,,,(Molina) Molina,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCH8,,Acacia chinchillensis,,Acacia,,chinchillensis,,,,,,,,,,,Tindale,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCH8,ACCH7,Acacia chinchellensis,,Acacia,,chinchellensis,,,,,,,,,,,"Tindale, orth. var.",,,,,Acacia,,,
ACCH,,Acacia choriophylla,,Acacia,,choriophylla,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCI6,,Acacia cibaria,,Acacia,,cibaria,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCI6,ACBR4,Acacia brachystachya,,Acacia,,brachystachya,,,,,,,,,,,auct.,,,,,Acacia,,,
ACCO15,,Acacia cognata,,Acacia,,cognata,,,,,,,,,,,Domin,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO16,,Acacia colletioides,,Acacia,,colletioides,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO24,,Acacia collinsii,,Acacia,,collinsii,,,,,,,,,,,Saff.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO,,Acacia confusa,,Acacia,,confusa,,,,,,,,,,,Merr.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO17,,Acacia conspersa,,Acacia,,conspersa,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO2,,Acacia constricta,,Acacia,,constricta,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCOC,,Acacia constricta var. constricta,,Acacia,,constricta,,,,var.,,constricta,,,,,Benth.,Benth.,,,,Acacia,Fabaceae,FABACE,Plantae
ACCOP9,,Acacia constricta var. paucispina,,Acacia,,constricta,,,,var.,,paucispina,,,,,Benth.,Wooton & Standl.,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO18,,Acacia continua,,Acacia,,continua,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCO5,,Acacia cornigera,,Acacia,,cornigera,,,,,,,,,,,(L.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCR2,,Acacia craspedocarpa,,Acacia,,craspedocarpa,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCU4,,Acacia cultriformis,,Acacia,,cultriformis,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCU5,,Acacia cupularis,,Acacia,,cupularis,,,,,,,,,,,Domin,,,,,Acacia,Fabaceae,FABACE,Plantae
ACCY2,,Acacia cyclops,,Acacia,,cyclops,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDA5,,Acacia davyi,,Acacia,,davyi,,,,,,,,,,,N.E. Br.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDE3,,Acacia dealbata,,Acacia,,dealbata,,,,,,,,,,,Link,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDE3,ACDED,Acacia decurrens var. dealbata,,Acacia,,decurrens,,,,var.,,dealbata,,,,,(Wendl. f.) Willd.,(Link) F. Muell.,,,,Acacia,,,
ACDE11,,Acacia deanei,,Acacia,,deanei,,,,,,,,,,,"(R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn",,,,,Acacia,Fabaceae,FABACE,Plantae
ACDEP2,,Acacia deanei ssp. paucijuga,,Acacia,,deanei,ssp.,,paucijuga,,,,,,,,"(R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn",(Wakef.) Tindale,,,,Acacia,Fabaceae,FABACE,Plantae
ACDEP2,ACPA10,Acacia paucijuga,,Acacia,,paucijuga,,,,,,,,,,,Wakef.,,,,,Acacia,,,
ACDE12,,Acacia decora,,Acacia,,decora,,,,,,,,,,,Rchb.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDE,,Acacia decurrens,,Acacia,,decurrens,,,,,,,,,,,(Wendl. f.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDE,MIDE17,Mimosa decurrens,,Mimosa,,decurrens,,,,,,,,,,,Wendl. f.,,,,,Mimosa,,,
ACDI7,,Acacia dietrichiana,,Acacia,,dietrichiana,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDI8,,Acacia difformis,,Acacia,,difformis,,,,,,,,,,,R.T. Baker,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDO2,,Acacia doratoxylon,,Acacia,,doratoxylon,,,,,,,,,,,A. Cunn.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDR2,,Acacia drummondii,,Acacia,,drummondii,,,,,,,,,,,Lindl.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACDU3,,Acacia dunnii,,Acacia,,dunnii,,,,,,,,,,,Turrill,,,,,Acacia,Fabaceae,FABACE,Plantae
ACEB2,,Acacia eburnea,,Acacia,,eburnea,,,,,,,,,,,(L. f.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACEL,,Acacia elata,,Acacia,,elata,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACER4,,Acacia erioloba,,Acacia,,erioloba,,,,,,,,,,,E. Mey.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACER5,,Acacia erubescens,,Acacia,,erubescens,,,,,,,,,,,Welw. ex Oliv.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACES2,,Acacia estrophiolata,,Acacia,,estrophiolata,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACEX3,,Acacia extensa,,Acacia,,extensa,,,,,,,,,,,Lindl.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACFA,,Acacia farnesiana,,Acacia,,farnesiana,,,,,,,,,,,(L.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACFI4,,Acacia fimbriata,,Acacia,,fimbriata,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACFL6,,Acacia floribunda,,Acacia,,floribunda,,,,,,,,,,,(Vent.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGA3,,Acacia galpinii,,Acacia,,galpinii,,,,,,,,,,,Burtt Davy,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGE8,,Acacia genistifolia,,Acacia,,genistifolia,,,,,,,,,,,Link,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGE8,ACDI9,Acacia diffusa,,Acacia,,diffusa,,,,,,,,,,,Lindl.,,,,,Acacia,,,
ACGE7,,Acacia gerrardii,,Acacia,,gerrardii,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGL5,,Acacia gladiiformis,,Acacia,,gladiiformis,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGL6,,Acacia glandulicarpa,,Acacia,,glandulicarpa,,,,,,,,,,,Reader,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGL4,,Acacia glauca,,Acacia,,glauca,,,,,,,,,,,(L.) Moench,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGO2,,Acacia goetzei,,Acacia,,goetzei,,,,,,,,,,,Harms,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGR9,,Acacia gracilifolia,,Acacia,,gracilifolia,,,,,,,,,,,Maiden & Blakely,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGR,,Acacia greggii,,Acacia,,greggii,,,,,,,,,,,A. Gray,,,,,Acacia,Fabaceae,FABACE,Plantae
ACGRG3,,Acacia greggii var. greggii,,Acacia,,greggii,,,,var.,,greggii,,,,,A. Gray,A. Gray,,,,Acacia,Fabaceae,FABACE,Plantae
ACGRW,,Acacia greggii var. wrightii,,Acacia,,greggii,,,,var.,,wrightii,,,,,A. Gray,(Benth.) Isely,,,,Acacia,Fabaceae,FABACE,Plantae
ACHA4,,Acacia hakeoides,,Acacia,,hakeoides,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACHE8,,Acacia hebeclada,,Acacia,,hebeclada,,,,,,,,,,,DC.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACHE12,,Acacia hemiteles,,Acacia,,hemiteles,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACHE12,ACGR10,Acacia graffiana,,Acacia,,graffiana,,,,,,,,,,,F. Muell.,,,,,Acacia,,,
ACHO2,,Acacia holosericea,,Acacia,,holosericea,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACHO4,,Acacia horrida,,Acacia,,horrida,,,,,,,,,,,(L.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACHO5,,Acacia howittii,,Acacia,,howittii,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACIM4,,Acacia imbricata,,Acacia,,imbricata,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACIM5,,Acacia implexa,,Acacia,,implexa,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACIR,,Acacia irrorata,,Acacia,,irrorata,,,,,,,,,,,Sieber ex Spreng.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACIT2,,Acacia iteaphylla,,Acacia,,iteaphylla,,,,,,,,,,,F. Muell. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACIX2,,Acacia ixiophylla,,Acacia,,ixiophylla,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACJI,,Acacia jibberdingensis,,Acacia,,jibberdingensis,,,,,,,,,,,Maiden & Blakely,,,,,Acacia,Fabaceae,FABACE,Plantae
ACJO2,,Acacia jonesii,,Acacia,,jonesii,,,,,,,,,,,F. Muell. & Maiden,,,,,Acacia,Fabaceae,FABACE,Plantae
ACKA2,,Acacia karroo,,Acacia,,karroo,,,,,,,,,,,Hayne,,,,,Acacia,Fabaceae,FABACE,Plantae
ACKO,,Acacia koa,,Acacia,,koa,,,,,,,,,,,A. Gray,,,,,Acacia,Fabaceae,FABACE,Plantae
ACKO,ACKA,Acacia kauaiensis,,Acacia,,kauaiensis,,,,,,,,,,,Hillebr.,,,,,Acacia,,,
ACKO,ACKOH,Acacia koa var. hawaiiensis,,Acacia,,koa,,,,var.,,hawaiiensis,,,,,A. Gray,Rock,,,,Acacia,,,
ACKO,ACKOL,Acacia koa var. lanaiensis,,Acacia,,koa,,,,var.,,lanaiensis,,,,,A. Gray,Rock,,,,Acacia,,,
ACKO,ACKOW,Acacia koa var. waimeae,,Acacia,,koa,,,,var.,,waimeae,,,,,A. Gray,Hochr.,,,,Acacia,,,
ACKO2,,Acacia koaia,,Acacia,,koaia,,,,,,,,,,,Hillebr.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLA10,,Acacia lanuginophylla,,Acacia,,lanuginophylla,,,,,,,,,,,R.S. Cowan & Maslin,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLA10,ACLA11,Acacia lanuginosa,,Acacia,,lanuginosa,,,,,,,,,,,"C.A. Gardner, nom. illeg.",,,,,Acacia,,,
ACLA6,,Acacia lasiocalyx,,Acacia,,lasiocalyx,,,,,,,,,,,C.R.P. Andrews,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLE7,,Acacia leiophylla,,Acacia,,leiophylla,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLI8,,Acacia ligulata,,Acacia,,ligulata,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLI5,,Acacia lineata,,Acacia,,lineata,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLO,,Acacia longifolia,,Acacia,,longifolia,,,,,,,,,,,(Andrews) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLO,ACLA,Acacia latifolia,,Acacia,,latifolia,,,,,,,,,,,hort.,,,,,Acacia,,,
ACLOS3,,Acacia longifolia ssp. sophorae,,Acacia,,longifolia,ssp.,,sophorae,,,,,,,,(Andrews) Willd.,(Labill.) Court,,,,Acacia,Fabaceae,FABACE,Plantae
ACLOS3,ACLOS2,Acacia longifolia var. sophorae,,Acacia,,longifolia,,,,var.,,sophorae,,,,,(Andrews) Willd.,(Labill.) F. Muell. ex Benth.,,,,Acacia,,,
ACLO8,,Acacia longissima,,Acacia,,longissima,,,,,,,,,,,H.L. Wendl.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACLO8,ACLI4,Acacia linearis,,Acacia,,linearis,,,,,,,,,,,Sims,,,,,Acacia,,,
ACMA,,Acacia macracantha,,Acacia,,macracantha,,,,,,,,,,,Humb. & Bonpl. ex Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMA11,,Acacia maidenii,,Acacia,,maidenii,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMA12,,Acacia mangium,,Acacia,,mangium,,,,,,,,,,,Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACME80,,Acacia mearnsii,,Acacia,,mearnsii,,,,,,,,,,,De Wild.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACME80,ACDEM,Acacia decurrens var. mollis,,Acacia,,decurrens,,,,var.,,mollis,,,,,(Wendl. f.) Willd.,Lindl.,,,,Acacia,,,
ACME,,Acacia melanoxylon,,Acacia,,melanoxylon,,,,,,,,,,,R. Br.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACME8,,Acacia mellifera,,Acacia,,mellifera,,,,,,,,,,,(Vahl) Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMED,,Acacia mellifera ssp. detinens,,Acacia,,mellifera,ssp.,,detinens,,,,,,,,(Vahl) Benth.,(Burch.) Brenan,,,,Acacia,Fabaceae,FABACE,Plantae
ACME6,,Acacia merrallii,,Acacia,,merrallii,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMI5,,Acacia microbotrya,,Acacia,,microbotrya,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMI6,,Acacia microcarpa,,Acacia,,microcarpa,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMI,,Acacia millefolia,,Acacia,,millefolia,,,,,,,,,,,S. Watson,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMO9,,Acacia montana,,Acacia,,montana,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMU6,,Acacia mucronata,,Acacia,,mucronata,,,,,,,,,,,Willd. ex H.L. Wendl.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMU7,,Acacia multispicata,,Acacia,,multispicata,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMU,,Acacia muricata,,Acacia,,muricata,,,,,,,,,,,(L.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACMY2,,Acacia myrtifolia,,Acacia,,myrtifolia,,,,,,,,,,,(Sm.) Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACNE4,,Acacia neovernicosa,,Acacia,,neovernicosa,,,,,,,,,,,Isely,,,,,Acacia,Fabaceae,FABACE,Plantae
ACNE8,,Acacia neriifolia,,Acacia,,neriifolia,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACNI8,,Acacia nigrescens,,Acacia,,nigrescens,,,,,,,,,,,Oliv.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACNI2,,Acacia nilotica,,Acacia,,nilotica,,,,,,,,,,,(L.) Willd. ex Delile,,,,,Acacia,Fabaceae,FABACE,Plantae
ACNIA3,,Acacia nilotica ssp. adstringens,,Acacia,,nilotica,ssp.,,adstringens,,,,,,,,(L.) Willd. ex Delile,(Schumach. & Thonn.) Roberty,,,,Acacia,Fabaceae,FABACE,Plantae
ACNIK2,,Acacia nilotica ssp. kraussiana,,Acacia,,nilotica,ssp.,,kraussiana,,,,,,,,(L.) Willd. ex Delile,(Benth.) Brenan,,,,Acacia,Fabaceae,FABACE,Plantae
ACNO5,,Acacia notabilis,,Acacia,,notabilis,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACOM,,Acacia omalophylla,,Acacia,,omalophylla,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACOM,ACHO3,Acacia homalophylla,,Acacia,,homalophylla,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,,,
ACOS2,,Acacia oswaldii,,Acacia,,oswaldii,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACOX3,,Acacia oxycedrus,,Acacia,,oxycedrus,,,,,,,,,,,Sieber ex DC.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPA15,,Acacia pachyceras,,Acacia,,pachyceras,,,,,,,,,,,Sw.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPAN,,Acacia pachyceras var. najdensis,,Acacia,,pachyceras,,,,var.,,najdensis,,,,,Sw.,(Chaudhary) Boulos,,,,Acacia,Fabaceae,FABACE,Plantae
ACPA16,,Acacia papyrocarpa,,Acacia,,papyrocarpa,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPA16,ACSO3,Acacia sowdenii,,Acacia,,sowdenii,,,,,,,,,,,Maiden,,,,,Acacia,,,
ACPA8,,Acacia paradoxa,,Acacia,,paradoxa,,,,,,,,,,,DC.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPA8,ACAR15,Acacia armata,,Acacia,,armata,,,,,,,,,,,R. Br.,,,,,Acacia,,,
ACPA81,,Acacia parramattensis,,Acacia,,parramattensis,,,,,,,,,,,Tindale,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPA9,,Acacia parvipinnula,,Acacia,,parvipinnula,,,,,,,,,,,Tindale,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPE8,,Acacia pendula,,Acacia,,pendula,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPE9,,Acacia pennatula,,Acacia,,pennatula,,,,,,,,,,,(Schltdl. & Cham.) Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPE10,,Acacia penninervis,,Acacia,,penninervis,,,,,,,,,,,Sieber ex DC.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPE11,,Acacia pentagona,,Acacia,,pentagona,,,,,,,,,,,(Schumach. & Thonn.) Hook. f.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPI,,Acacia pinetorum,,Acacia,,pinetorum,,,,,,,,,,,F.J. Herm.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPO2,,Acacia podalyriifolia,,Acacia,,podalyriifolia,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPO3,,Acacia polyacantha,,Acacia,,polyacantha,,,,,,,,,,,Willd.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPOC2,,Acacia polyacantha ssp. campylacantha,,Acacia,,polyacantha,ssp.,,campylacantha,,,,,,,,Willd.,(Hochst. ex A. Rich.) Brenan,,,,Acacia,Fabaceae,FABACE,Plantae
ACPR6,,Acacia pravissima,,Acacia,,pravissima,,,,,,,,,,,F. Muell.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPR3,,Acacia prominens,,Acacia,,prominens,,,,,,,,,,,A. Cunn. ex G. Don,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPR4,,Acacia pruinosa,,Acacia,,pruinosa,,,,,,,,,,,A. Cunn. ex Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPU3,,Acacia pulchella,,Acacia,,pulchella,,,,,,,,,,,R. Br.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPY3,,Acacia pycnantha,,Acacia,,pycnantha,,,,,,,,,,,Benth.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACPY4,,Acacia pyrifolia,,Acacia,,pyrifolia,,,,,,,,,,,DC.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACQU2,,Acacia quornensis,,Acacia,,quornensis,,,,,,,,,,,J.M. Black,,,,,Acacia,Fabaceae,FABACE,Plantae
ACRA5,,Acacia ramulosa,,Acacia,,ramulosa,,,,,,,,,,,W. Fitzg.,,,,,Acacia,Fabaceae,FABACE,Plantae
ACRE9,,Acacia redolens,,Acacia,,redolens,,,,,,,,,,,Maslin,,,,,Acacia,Fabaceae,FABACE,Plantae
