Accepted Symbol,Synonym Symbol,Scientific Name,Hybrid Genus Indicator,Genus,Hybrid Species Indicator,Species,Subspecies Prefix,Hybrid Subspecies Indicator,Subspecies,Variety Prefix,Hybrid Variety Indicator,Variety,Subvariety Prefix,Subvariety,Forma Prefix,Forma,Genera/Binomial Author,Trinomial Author,Quadranomial Author,Questionable Taxon Indicator,Parents,Genus,Family,Family Symbol,Kingdom
ABLAL,ABLAB,Abies lasiocarpa ssp. bifolia,,Abies,,lasiocarpa,ssp.,,bifolia,,,,,,,,(Hook.) Nutt.,(A. Murray bis) Silba,,,,Abies,,,
ABLAL,ABLAB2,Abies lasiocarpa var. bifolia,,Abies,,lasiocarpa,,,,var.,,bifolia,,,,,(Hook.) Nutt.,(A. Murray bis) Eckenw.,,,,Abies,,,
ABLAL,ABSU,Abies subalpina,,Abies,,subalpina,,,,,,,,,,,Engelmann,,,,,Abies,,,
ABLO,,Abies lowiana,,Abies,,lowiana,,,,,,,,,,,(Gordon & Glend.) A. Murray bis,,,,,Abies,Pinaceae,PINACE,Plantae
ABLO,ABCOL,Abies concolor var. lowiana,,Abies,,concolor,,,,var.,,lowiana,,,,,(Gord. & Glend.) Lindl. ex Hildebr.,(Gord. & Glend.) Lemmon,,,,Abies,,,
ABMA,,Abies magnifica,,Abies,,magnifica,,,,,,,,,,,A. Murray bis,,,,,Abies,Pinaceae,PINACE,Plantae
ABMAM,,Abies magnifica var. magnifica,,Abies,,magnifica,,,,var.,,magnifica,,,,,A. Murray bis,,,,,Abies,Pinaceae,PINACE,Plantae
ABMAS,,Abies magnifica var. shastensis,,Abies,,magnifica,,,,var.,,shastensis,,,,,A. Murray bis,Lemmon,,,,Abies,Pinaceae,PINACE,Plantae
ABMAS,ABMAC,Abies magnifica var. critchfieldii,,Abies,,magnifica,,,,var.,,critchfieldii,,,,,A. Murray bis,Lanner,,,,Abies,,,
ABMAS,ABMAS2,Abies magnifica ssp. shastensis,,Abies,,magnifica,ssp.,,shastensis,,,,,,,,A. Murray bis,(Lemmon) Silba,,,,Abies,,,
ABMAS,ABSH,Abies ×shastensis,,Abies,×,shastensis,,,,,,,,,,,(Lemmon) Lemmon,,,,,Abies,,,
ABPR,,Abies procera,,Abies,,procera,,,,,,,,,,,Rehder,,,,,Abies,Pinaceae,PINACE,Plantae
ABPR,ABNO,Abies nobilis,,Abies,,nobilis,,,,,,,,,,,(Douglas ex D. Don) Lindl.,,,,,Abies,,,
ABVE2,,Abies veitchii,,Abies,,veitchii,,,,,,,,,,,Lindl.,,,,,Abies,Pinaceae,PINACE,Plantae
ABIET,,Abietinella,,Abietinella,,,,,,,,,,,,,Müll. Hal.,,,,,Abietinella,Thuidiaceae,THUIDI,Plantae
ABAB70,,Abietinella abietina,,Abietinella,,abietina,,,,,,,,,,,(Hedw.) Fleisch.,,,,,Abietinella,Thuidiaceae,THUIDI,Plantae
ABAB70,HYAB,Hypnum abietinum,,Hypnum,,abietinum,,,,,,,,,,,Hedw.,,,,,Hypnum,,,
ABAB70,THAB70,Thuidium abietinum,,Thuidium,,abietinum,,,,,,,,,,,(Hedw.) Schimp.,,,,,Thuidium,,,
ABILD,,Abildgaardia,,Abildgaardia,,,,,,,,,,,,,Vahl,,,,,Abildgaardia,Cyperaceae,CYPERA,Plantae
ABOV,,Abildgaardia ovata,,Abildgaardia,,ovata,,,,,,,,,,,(Burm. f.) Kral,,,,,Abildgaardia,Cyperaceae,CYPERA,Plantae
ABOV,ABMO4,Abildgaardia monostachya,,Abildgaardia,,monostachya,,,,,,,,,,,(L.) Vahl,,,,,Abildgaardia,,,
ABOV,CYMO10,Cyperus monostachyos,,Cyperus,,monostachyos,,,,,,,,,,,L.,,,,,Cyperus,,,
ABOV,FIMO2,Fimbristylis monostachya,,Fimbristylis,,monostachya,,,,,,,,,,,(L.) Hassk.,,,,,Fimbristylis,,,
ABOV,FIOV,Fimbristylis ovata,,Fimbristylis,,ovata,,,,,,,,,,,(Burm. f.) J. Kern,,,,,Fimbristylis,,,
ABROM,,Abroma,,Abroma,,,,,,,,,,,,,Jacq.,,,,,Abroma,Sterculiaceae,STERCU,Plantae
ABROM,AMBRO2,Ambroma,,Ambroma,,,,,,,,,,,,,"L. f., orth. var.",,,,,Ambroma,,,
