taxonID	creator	date	title	description	identifier	type
22361504	Cowan & Maslin	1990		In: Nuytsia 7: 210, figs 1A--B (1990)		taxon
22361506	Maiden & Blakely	1927		In: J. & Proc. Roy. Soc. New South Wales 60: 180, t. 14, figs 6--13 (1927)		taxon
22361508	Sweet ex Lindley	1824		In: Bot. Reg. 10: t. 839 (Oct. 1824)		taxon
22361509	Pedley	1980		In: Austrobaileya 1: 261 (1980)		taxon
22361510	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 2, pl. 2, figs 7--12 (1928)		taxon
22361511	Forde & Ising	1958		In: Trans. & Proc. Roy. Soc. S. Australia 81: 153, figs 1 & 2, pls 1 & 2 (1958)		taxon
22361514	Cunn. ex Benth.	1842		In: London J. Bot. 1: 379 (1842)		taxon
22361515	R.Baker	1900		In: Proc. Linn. Soc. New South Wales 25: 661, pl. 42 (1900)		taxon
22361516	C.R.P.Andrews	1904		In: J. W. Austral. Nat. Hist. Soc. 1: 39 (May 1904), non E.Pritzel (Dec. 1904).		taxon
22361517	Benth.	1855		In: Linnaea 26: 605 (1855)		taxon
22361518	Maiden	1920		In: J. & Proc. Roy. Soc. New South Wales 53: v, errata (1920)		taxon
22361519	Tind. & Kodela	1991		In: Austral. Syst. Bot. 4: 582, fig. 3 (1991)		taxon
22361520	A.S.George	1999		In: J. Roy. Soc. W. Australia 82(2): 69, figs. 1 & 3 (1999)		taxon
22361522	Cunn. ex Benth.	1842		In: London J. Bot. 1: 385 (1842)		taxon
22361523	Maslin	1995		In: Nuytsia 10: 172 (1995)		taxon
22361524	Maiden	1916		In: J. & Proc. Roy. Soc. New South Wales 49: 470 (1916)		taxon
22361525	Maslin	1999		In: Nuytsia 12(3): 331 (1999)		taxon
22361526	Pedley	1978		In: Austrobaileya 1: 132, fig. 9I (1978)		taxon
22361527	Cowan & Maslin	1990		In: Nuytsia 7: 187, figs 1D--F (1990)		taxon
22361528	Maslin	1999		In: Nuytsia 12(3): 332 (1999)		taxon
22361529	Tind. & Kodela	1992		In: Telopea 5: 56, figs 2 & 3A--E (1992)		taxon
22361531	C.White	1944		In: Proc. Roy. Soc. Queensland 55: 63 (1944)		taxon
22361534	Cowan & Maslin	1999		In: Nuytsia 12(3): 454 (1999)		taxon
22361536	Benth.	1855		In: Linnaea 26: 615 (1855)		taxon
22361537	Benth.	1842		In: London J. Bot. 1: 349 (1842)		taxon
22361539	Maiden & Blakely	1927		In: J. & Proc. Roy. Soc. New South Wales 60: 172, t. 13, figs 12--17 (1927)		taxon
22361540	Maslin	1995		In: Nuytsia 10: 173 (1995)		taxon
22361541	Maiden	1916		In: J. & Proc. Roy. Soc. New South Wales 49: 482 (1916)		taxon
22361542	Maslin	1995		In: Nuytsia 10: 189 (1995)		taxon
22361543	Cowan & Maslin	1999		In: Nuytsia 12(3): 457 (1999)		taxon
22361544		1999		In: Nuytsia 12(3): 457 (1999)		taxon
22361546	Maslin	1992		In: Nuytsia 8: 293, figs 3A--D (1992)		taxon
22361547	Blakely	1917		In: Proc. Linn. Soc. New South Wales 42: 441 (1917)		taxon
22361552	Tind.	1978		In: Telopea 1: 380 (1978)		taxon
22361553	Pedley	1972		In: Contr. Queensland Herb. 11: 12 (1972)		taxon
22361554	Bailey	1899		In: Queensland Agric. J. 4: 47 (1899)		taxon
22361556	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 16, pl. 12, figs 1--7 (1928)		taxon
22361557	Maslin	1978		In: Nuytsia 2: 305, figs 14 & 23 (1978)		taxon
22361558	Maslin	1983		In: Nuytsia 4: 367, figs 1 & 6 (1983)		taxon
22361559	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 10, pl. 6, figs 20--25 (1928)		taxon
22361560	Tind.	1966		In: Contr. New South Wales Natl Herb. 4: 20 (1966)		taxon
22361561	Benth.	1864		In: Fl. Austral. 2: 403 (1864)		taxon
22361563	F.Muell.	1878		In: Fragm. 11: 35 (1878)		taxon
22361565	Tind. & Maslin	1976		In: Nuytsia 2: 86, figs 1 & 3C--D & 4 (1976)		taxon
22361566	Maiden	1916		In: J. & Proc. Roy. Soc. New South Wales 49: 486 (1916)		taxon
22361567	Maslin	1995		In: Nuytsia 10: 87 (1995)		taxon
22361568	H.L.Wendl.	1820		In: Comm. Acac. Aphyll. 3, 15 (1820)		taxon
22361570		1999		In: Nuytsia 12(3): 474 (1999)		taxon
22361571	Maslin & A.R.Chapman	1999		In: Nuytsia 12(3): 475 (1999)		taxon
22361572	Domin	1926		In: Biblioth. Bot. 89: 260 (1926)		taxon
22361573	Maslin & L.A.J.Thomson	1992		In: Austral. Syst. Bot. 5: 737, figs 1 & 5 (1992)		taxon
22361574	Benth.	1842		In: London J. Bot. 1: 336 (1842)		taxon
22361576	W.Fitzg.	1904		In: J. W. Austral. Nat. Hist. Soc. 1: 5 (1904)		taxon
22361579	Cunn. ex Benth.	1842		In: London J. Bot. 1: 369 (1842)		taxon
22361581	Maslin	1999		In: Nuytsia 12(3): 334 (1999)		taxon
22361582	Pedley	1974		In: Contr. Queensland Herb. 15: 9 (1974)		taxon
