nameID,parentNameID,scientificName,scientificNameAuthorship,nameRank,nameUri,isHybrid,genus,specificEpithet,rankIndicator,otherEpithet,subclass,family,acceptance,acceptedNameID,NomenclatureStatusID,NomenclatureStatusName,Symbol
100405,100404,"Dyschoriste diffusa var. glabrata",Urb.,variety,http://www.tropicos.org/Name/100405,,Dyschoriste,diffusa,var.,glabrata,Magnoliidae,Acanthaceae,,,,"No opinion",
100406,40000401,"Dyschoriste humilis","(Nees) Lindau",species,http://www.tropicos.org/Name/100406,,Dyschoriste,humilis,sp.,,Magnoliidae,Acanthaceae,A,,5,"nom. cons.",!!
100407,40000401,"Dyschoriste hygrophiloides","(Nees) Kuntze",species,http://www.tropicos.org/Name/100407,,Dyschoriste,hygrophiloides,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100409,40000401,"Dyschoriste oaxacensis",Kobuski,species,http://www.tropicos.org/Name/100409,,Dyschoriste,oaxacensis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100408,40000401,"Dyschoriste maranhonis",Kuntze,species,http://www.tropicos.org/Name/100408,,Dyschoriste,maranhonis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100410,40000401,"Dyschoriste pinetorum",Kobuski,species,http://www.tropicos.org/Name/100410,,Dyschoriste,pinetorum,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100413,40000401,"Dyschoriste purpusii",Kobuski,species,http://www.tropicos.org/Name/100413,,Dyschoriste,purpusii,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100411,40000401,"Dyschoriste pringlei",Greenm.,species,http://www.tropicos.org/Name/100411,,Dyschoriste,pringlei,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100412,40000401,"Dyschoriste pulegium",Kuntze,species,http://www.tropicos.org/Name/100412,,Dyschoriste,pulegium,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100414,40000401,"Dyschoriste quitensis","(Kunth) Kuntze",species,http://www.tropicos.org/Name/100414,,Dyschoriste,quitensis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100415,40000401,"Dyschoriste repens","(Nees) Kuntze",species,http://www.tropicos.org/Name/100415,,Dyschoriste,repens,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100416,40000401,"Dyschoriste saltuensis",Fernald,species,http://www.tropicos.org/Name/100416,,Dyschoriste,saltuensis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100417,40000401,"Dyschoriste xylopoda",Kobuski,species,http://www.tropicos.org/Name/100417,,Dyschoriste,xylopoda,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100418,40002537,"Elytraria frondosa",Kunth,species,http://www.tropicos.org/Name/100418,,Elytraria,frondosa,sp.,,Magnoliidae,Acanthaceae,S,101415,,"No opinion",
100419,40002537,"Elytraria klugii",Leonard,species,http://www.tropicos.org/Name/100419,,Elytraria,klugii,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100420,40002537,"Elytraria macrophylla",Leonard,species,http://www.tropicos.org/Name/100420,,Elytraria,macrophylla,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100421,40002537,"Elytraria ramosa",Kunth,species,http://www.tropicos.org/Name/100421,,Elytraria,ramosa,sp.,,Magnoliidae,Acanthaceae,S,101415,,"No opinion",
100422,40003002,"Encephalosphaera lasiandra",Mildbr.,species,http://www.tropicos.org/Name/100422,,Encephalosphaera,lasiandra,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100423,40003002,"Encephalosphaera vitellina",Lindau,species,http://www.tropicos.org/Name/100423,,Encephalosphaera,vitellina,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100425,40013213,"Geissomeria cestrifolia",Nees,species,http://www.tropicos.org/Name/100425,,Geissomeria,cestrifolia,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100424,40004502,"Eranthemum hispidulum",Nees,species,http://www.tropicos.org/Name/100424,,Eranthemum,hispidulum,sp.,,Magnoliidae,Acanthaceae,S,100457500,,"No opinion",
100426,40013213,"Geissomeria cincinnata",Nees,species,http://www.tropicos.org/Name/100426,,Geissomeria,cincinnata,sp.,,Magnoliidae,Acanthaceae,S,50337791,,"No opinion",
